Class,Sets,Number of pieces,Bonus text,,,,,,,,Stat Value,Stat name
IB,Redeye,3 pieces,+720 Armor,,,,,,,,720,Armor
IB,Redeye,4 pieces,+64 Strength,,,,,,,,64,Strength
IB,Redeye,5 pieces,+69 Toughness,,,,,,,,69,Toughness
IB,Redeye,6 pieces,Corrosion - On Hit: 10% chance to lower target's Armor by 1080 for 10 seconds.,,,,,,,,0,0
IB,Sentinel,2 pieces,+58 Strength,,,,,,,,58,Strength
IB,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
IB,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
IB,Sentinel,5 pieces,Unconstrained - On Causing Single Target Damage: 10% chance to be immunte from roots and snares for the next 5 seconds.,,,,,,,,0,0
IB,Sentinel,6 pieces,+5% Parry,,,,,,,,5,Parry
IB,Sentinel,7 pieces,Red Mist - Cooldown of Taunt reduced by 5 seconds.,,,,,,,,5,0
IB,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
IB,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
IB,Vanquisher,2 pieces,+62 Toughness,,,,,,,,62,Toughness
IB,Vanquisher,3 pieces,+68 Wounds,,,,,,,,68,Wounds
IB,Vanquisher,4 pieces,Active Defences - On Attacking Target: 10% chance to increase Parry  Block  Disrupt and Dodge by 7% for 10 seconds.,,,,,,,,0,0
IB,Vanquisher,5 pieces,+5% Block,,,,,,,,5,Block
IB,Vanquisher,6 pieces,Bulwarking Presence - On Being Hit: 10% chance to reduce the damage being taken by your group within 30ft by 3% for 10 seconds,,,,,,,,0,0
KotBS,Annihilator,2 pieces,+53 Toughness,,,,,,,,53,Toughness
KotBS,Annihilator,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
KotBS,Annihilator,4 pieces,+1 Path of Discord Abilities,,,,,,,,1,0
KotBS,Annihilator,5 pieces,+5% Parry,,,,,,,,5,Parry
KotBS,Beastlord,2 pieces,No Bonus,,,,,,,,0,0
KotBS,Beastlord,3 pieces,"+55,0 Weapon Skill",,,,,,,,55,Weapon Skill
KotBS,Beastlord,4 pieces,+60 Strength,,,,,,,,60,Strength
KotBS,Beastlord,5 pieces,+5% Parry,,,,,,,,5,Parry
KotBS,Beastlord,6 pieces,Corrosion - On Hit: 10% chance to lower all of target's Armor by 960 for 10 seconds.,,,,,,,,0,0
KotBS,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
KotBS,Bloodlord,3 pieces,+73 Strength,,,,,,,,73,Strength
KotBS,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
KotBS,Bloodlord,5 pieces,+5% Parry,,,,,,,,5,Parry
KotBS,Bloodlord,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
KotBS,Bloodlord,7 pieces,"Reactionary – On Defense: 25% chance to increase Parry, Evade and Disrupt by 10% for 10 seconds.",,,,,,,,0,0
KotBS,Conqueror,2 pieces,+57 Toughness,,,,,,,,57,Toughness
KotBS,Conqueror,3 pieces,+63 Wounds,,,,,,,,63,Wounds
KotBS,Conqueror,4 pieces,+5% Reduction in being Critically Hit,,,,,,,,5,Reduction in being Critically Hit
KotBS,Conqueror,5 pieces,Preservation - On Being Hit: 10% chance to increase Wounds by 100 for 20 seconds.,,,,,,,,0,0
KotBS,Conqueror,6 pieces,+5% Block,,,,,,,,5,Block
KotBS,Dominator,2 pieces,+57 Strength,,,,,,,,57,Strength
KotBS,Dominator,3 pieces,+63 Wounds,,,,,,,,63,Wounds
KotBS,Dominator,4 pieces,+5% Reduced chance to be Parried,,,,,,,,5,Reduced Chance to be Parried
KotBS,Dominator,5 pieces,Aggravation - On Hit: 10% chance to Taunt target.,,,,,,,,10,0
KotBS,Dominator,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
KotBS,Genesis Everlasting,2 pieces,+37 Toughness,,,,,,,,37,Toughness
KotBS,Genesis Everlasting,3 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
KotBS,Genesis Everlasting,4 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
KotBS,Genesis Everlasting,5 pieces,+60 Hit Points every four seconds,,,,,,,,60,Hit Points Every four Seconds
KotBS,Genesis Undying,2 pieces,+37 Wounds,,,,,,,,37,Wounds
KotBS,Genesis Undying,3 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
KotBS,Genesis Undying,4 pieces,+37 Toughness,,,,,,,,37,Toughness
KotBS,Genesis Undying,5 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
KotBS,Genesis Warrior,2 pieces,+37 Strength,,,,,,,,37,Strength
KotBS,Genesis Warrior,3 pieces,+3% Reduced Chance to be Parried,,,,,,,,3,Reduced Chance to be Parried
KotBS,Genesis Warrior,4 pieces,+37 Weapon Skill,,,,,,,,37,Weapon Skill
KotBS,Genesis Warrior,5 pieces,+3% Melee Critical Chance,,,,,,,,3,Melee Critical Chance
KotBS,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
KotBS,Invader,2 pieces,"+66,0 Strength",,,,,,,,66,Strength
KotBS,Invader,3 pieces,+73 Wounds,,,,,,,,73,Wounds
KotBS,Invader,4 pieces,+80 Toughness,,,,,,,,80,Toughness
KotBS,Invader,5 pieces,+5% Block,,,,,,,,5,Block
KotBS,Invader,6 pieces,Mending Wounds - On Block: 10% chance to restore 500 Health Points and gain 50 Action Points,,,,,,,,0,0
KotBS,Invader,7 pieces,"Shield Spikes - Each time you block an attack, low damage is dealt back to them and reduce their outgoing damage by 5%.",,,,,,,,5,0
KotBS,Mercenary,2 pieces,+53 Strength,,,,,,,,53,Strength
KotBS,Mercenary,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
KotBS,Mercenary,4 pieces,+1 Path of Dread Abilities,,,,,,,,1,0
KotBS,Mercenary,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
KotBS,Onslaught,2 pieces,+58 Wounds,,,,,,,,58,Wounds
KotBS,Onslaught,3 pieces,+64 Strength,,,,,,,,64,Strength
KotBS,Onslaught,4 pieces,Pilfer - On Being Hit: 10% chance to steal 112 health from your attacker.,,,,,,,,0,0
KotBS,Onslaught,5 pieces,+5% Block,,,,,,,,5,Block
KotBS,Oppressor,2 pieces,+62 Strength,,,,,,,,62,Strength
KotBS,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
KotBS,Oppressor,4 pieces,Aggression - On Attacking target: 10% chance to increase outgoing damage by 1% for 15 seconds. Stacks up to 5 times.,,,,,,,,0,0
KotBS,Oppressor,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
KotBS,Oppressor,6 pieces,+5% Critical Damage,,,,,,,,5,Critical Damage
KotBS,Overlord,2 pieces,+61 wounds,,,,,,,,61,Wounds
KotBS,Rare Fortune,2 pieces,+54 Initiative,,,,,,,,54,Initiative
KotBS,Rare Fortune,3 pieces,+59 Strength,,,,,,,,59,Strength
KotBS,Rare Fortune,4 pieces,Barrier - On Being Hit: 10% chance to form a protective barrier that will absord up to 163 damage over 5 seconds.,,,,,,,,0,0
KotBS,Rare Fortune,5 pieces,+5% Block,,,,,,,,5,Block
KotBS,Redeye,2 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
KotBS,Redeye,3 pieces,+720 Armor,,,,,,,,720,Armor
KotBS,Redeye,4 pieces,+64 Strength,,,,,,,,64,Strength
KotBS,Redeye,5 pieces,+69 Toughness,,,,,,,,69,Toughness
KotBS,Redeye,6 pieces,Corrosion - On Hit: 10% chance to lower target's Armor by 1080 for 10 seconds.,,,,,,,,0,0
KotBS,Sentinel,2 pieces,+58 Strength,,,,,,,,58,Strength
KotBS,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
KotBS,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
KotBS,Sentinel,5 pieces,Unconstrained - On Causing Single Target Damage: 10% chance to be immune from roots and snares for the next 5 seconds.,,,,,,,,0,0
KotBS,Sentinel,6 pieces,+5% Parry,,,,,,,,5,Parry
KotBS,Sentinel,7 pieces,Red Mist - Cooldown of Taunt reduced by 5 seconds.,,,,,,,,5,0
KotBS,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
KotBS,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
KotBS,Vanquisher,2 pieces,+62 Toughness,,,,,,,,62,Toughness
KotBS,Vanquisher,3 pieces,+68 Wounds,,,,,,,,68,Wounds
KotBS,Vanquisher,4 pieces,"Active Defences - On Attacking target: 10% chance to increase Parry, Block, Disrupt and Dodge by 7% for 10 seconds.",,,,,,,,0,0
KotBS,Vanquisher,5 pieces,+5% Block,,,,,,,,5,Block
KotBS,Vanquisher,6 pieces,Bulwarking Presence - On Being Hit: 10% chance to reduce the damage being taken by your group within 30ft by 3% for 10 seconds.,,,,,,,,0,0
Magus,Annihilator,2 pieces,+53 Wounds,,,,,,,,53,Wounds
Magus,Annihilator,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
Magus,Annihilator,4 pieces,+1 Path of Destruction Abilities,,,,,,,,1,0
Magus,Annihilator,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Magus,Beastlord,2 pieces,No Bonus,,,,,,,,0,0
Magus,Beastlord,3 pieces,+225 Armor,,,,,,,,225,Armor
Magus,Beastlord,4 pieces,+60 Intelligence,,,,,,,,60,Intelligence
Magus,Beastlord,5 pieces,+5% Reduced Chance to be Disrupted,,,,,,,,5,Reduced Chance to be Disrupted
Magus,Beastlord,6 pieces,Clarity - Aby Ability: 10% chance to reduce the cost of the next ability used within 10 seconds to 0 Action Points.,,,,,,,,10,0
Magus,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
Magus,Bloodlord,3 pieces,+73 Intelligence,,,,,,,,73,Intelligence
Magus,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
Magus,Bloodlord,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Magus,Bloodlord,6 pieces,Increasing Impetus – On Attack or Direct Heal: 5% chance to reduce build times by 25% for 5 seconds.,,,,,,,,0,0
Magus,Bloodlord,7 pieces,Guile – On Hit: 10% chance to lower incoming heal on target by 25% for 10 seconds.,,,,,,,,0,0
Magus,Conqueror,2 pieces,+57 Intelligence,,,,,,,,57,Intelligence
Magus,Conqueror,3 pieces,+63 Initiative,,,,,,,,63,Initiative
Magus,Conqueror,4 pieces,+69 Wounds,,,,,,,,69,Wounds
Magus,Conqueror,5 pieces,Domination - On Hit: 25% chance to steal 100 Toughness from your target for 10 seconds.,,,,,,,,0,0
Magus,Conqueror,6 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Magus,Dominator,2 pieces,+57 Toughness,,,,,,,,57,Toughness
Magus,Dominator,3 pieces,+63 Intelligence,,,,,,,,63,Intelligence
Magus,Dominator,4 pieces,+280 Armor,,,,,,,,280,Armor
Magus,Dominator,5 pieces,Evasive - On Being Hit: 10% chance to detaunt target.,,,,,,,,10,0
Magus,Dominator,6 pieces,+5% Reduction in being Critically hit,,,,,,,,5,Reduction in being Critically Hit
Magus,Genesis Scholar,2 pieces,+37 Intelligence,,,,,,,,37,Intelligence
Magus,Genesis Scholar,3 pieces,+3% Reduced Chance to be Disrupted,,,,,,,,3,Reduced Chance to be Disrupted
Magus,Genesis Scholar,4 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
Magus,Genesis Scholar,5 pieces,+3% Magic Critical Chance,,,,,,,,3,Magic Critical Chance
Magus,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
Magus,Invader,2 pieces,"+66,0 Intelligence",,,,,,,,66,Intelligence
Magus,Invader,3 pieces,+73 Toughness,,,,,,,,73,Toughness
Magus,Invader,4 pieces,+5% Reduced Chance to be Disrupted,,,,,,,,5,Reduced Chance to be Disrupted
Magus,Invader,5 pieces,+10 Range,,,,,,,,10,Range
Magus,Invader,6 pieces,Precision - On Critical Hit: 10% chance to increase Dodge Strikethrough and Disrupt Strikethrough by 20% on next ability casted,,,,,,,,0,0
Magus,Invader,7 pieces,"Implacable Resolve - Each time you critically hit an enemy with your path of Havoc abilities, there is a 20% chance that their Initiative will be reduced by 80 for 5 seconds.",,,,,,,,0,0
Magus,Mercenary,2 pieces,+53 Intelligence,,,,,,,,53,Intelligence
Magus,Mercenary,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
Magus,Mercenary,4 pieces,+1 Path of Agony Abilities,,,,,,,,1,0
Magus,Mercenary,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Magus,Onslaught,2 pieces,+58 Wounds,,,,,,,,58,Wounds
Magus,Onslaught,3 pieces,+64 Intelligence,,,,,,,,64,Intelligence
Magus,Onslaught,4 pieces,Boost V - On Hit:5% chance to increase your critical hit rate by 9% and your critical damage by 12% for 9 seconds.,,,,,,,,0,0
Magus,Onslaught,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Magus,Oppressor,2 pieces,+62 Intelligence,,,,,,,,62,Intelligence
Magus,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
Magus,Oppressor,4 pieces,Barrier - On Being Hit: 10% chance to form a protective barrier that will absorb up to 200 damage over 5 seconds.,,,,,,,,0,0
Magus,Oppressor,5 pieces,+5% Reduction in being Critically hit,,,,,,,,5,Reduction in being Critically Hit
Magus,Oppressor,6 pieces,"Subtle Evasion - On Being Attacked: 10% chance to increase Parry, Evade and Disrupt by 10% for 10 seconds.",,,,,,,,10,0
Magus,Overlord,2 pieces,+61 wounds,,,,,,,,61,Wounds
Magus,Rare Fortune,2 pieces,+54 Initiative,,,,,,,,54,Initiative
Magus,Rare Fortune,3 pieces,+59 Intelligence,,,,,,,,59,Intelligence
Magus,Rare Fortune,4 pieces,Quickening - On Being Hit: 10% chance to reduce build times by half a second for 10 seconds.,,,,,,,,10,0
Magus,Rare Fortune,5 pieces,+5% Reduced Chance to de Disrupted,,,,,,,,5,0
Magus,Redeye,2 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
Magus,Redeye,3 pieces,+59 Intelligence,,,,,,,,59,Intelligence
Magus,Redeye,4 pieces,+264 Spiritual Resistance,,,,,,,,264,Spiritual Resistance
Magus,Redeye,5 pieces,Quickening - On Being Hit: 10% chance to reduce build times by half a second for 10 seconds.,,,,,,,,10,0
Magus,Redeye,6 pieces,+4% Magic Critical Chance,,,,,,,,4,Magic Critical Chance
Magus,Sentinel,2 pieces,+58 Intelligence,,,,,,,,58,Intelligence
Magus,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
Magus,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
Magus,Sentinel,5 pieces,Compulsion - On Being Attacked: 10% chance to reduce your cooldownds by 1 second for 10 seconds.,,,,,,,,10,0
Magus,Sentinel,6 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Magus,Sentinel,7 pieces,Deeper Dread - Cooldown of Dread Aspect reduced by 5 seconds.,,,,,,,,5,0
Magus,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
Magus,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
Magus,Vanquisher,2 pieces,+62 Intelligence,,,,,,,,62,Intelligence
Magus,Vanquisher,3 pieces,+68 Wounds,,,,,,,,68,Wounds
Magus,Vanquisher,4 pieces,Clarity - Any Ability: 10% chance to reduce the cost of the next ability used within 10 seconds to 0 Action Points,,,,,,,,10,0
Magus,Vanquisher,5 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Magus,Vanquisher,6 pieces,+4% Damage,,,,,,,,4,0
Mara,Annihilator,2 pieces,+53 Toughness,,,,,,,,53,Toughness
Mara,Annihilator,3 pieces,+290 Elemental Resistance,,,,,,,,290,Elemental Resistance
Mara,Annihilator,4 pieces,+1 Path of Middle tree Abilities,,,,,,,,1,0
Mara,Annihilator,5 pieces,+5% Parry,,,,,,,,5,Parry
Mara,Beastlord,3 pieces,"+55,0 Weapon Skill",,,,,,,,55,Weapon Skill
Mara,Beastlord,4 pieces,+60 Strength,,,,,,,,60,Strength
Mara,Beastlord,5 pieces,+5% Reduced Chance to be Parried,,,,,,,,5,Reduced Chance to be Parried
Mara,Beastlord,6 pieces,Overwhelming - On Hit: 25% chance to reduce target's Weapon Skill by 84 while incresing your Strength by 84 for 10 seconds.,,,,,,,,0,0
Mara,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
Mara,Bloodlord,3 pieces,+73 Initiative,,,,,,,,73,Initiative
Mara,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
Mara,Bloodlord,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
Mara,Bloodlord,6 pieces,Preservation – On Being Hit: 10% chance to increase Wounds,,,,,,,,10,0
Mara,Bloodlord,7 pieces,"Overwhelming – On Hit: 25% chance to reduce target's Weapon Skill, while increasing your Strength for 10 seconds.",,,,,,,,0,0
Mara,Conqueror,2 pieces,+57 Strength,,,,,,,,57,Strength
Mara,Conqueror,3 pieces,+63 Wounds,,,,,,,,63,Wounds
Mara,Conqueror,4 pieces,+5% Reduced Chence to be Parried,,,,,,,,5,0
Mara,Conqueror,5 pieces,Domination - On Hit: 25% chance to steal 100 Toughness from your target for 10 seconds.,,,,,,,,0,0
Mara,Conqueror,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
Mara,Dominator,2 pieces,+57 Strength,,,,,,,,57,Strength
Mara,Dominator,3 pieces,+63 Wounds,,,,,,,,63,Wounds
Mara,Dominator,4 pieces,+561 Armor,,,,,,,,561,Armor
Mara,Dominator,5 pieces,Barrier - On Being Hit: 10% chance to form a protective barrier that will absorb up to 183 damage over 5 seconds.,,,,,,,,0,0
Mara,Dominator,6 pieces,+5% Reduction in being Critically Hit,,,,,,,,5,Reduction in being Critically Hit
Mara,Genesis Undying,2 pieces,+37 Wounds,,,,,,,,37,Wounds
Mara,Genesis Undying,3 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
Mara,Genesis Undying,4 pieces,+37 Toughness,,,,,,,,37,Toughness
Mara,Genesis Undying,5 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
Mara,Genesis Warrior,2 pieces,+37 Strength,,,,,,,,37,Strength
Mara,Genesis Warrior,3 pieces,+3% Reduced Chance to be Parried,,,,,,,,3,Reduced Chance to be Parried
Mara,Genesis Warrior,4 pieces,+37 Weapon Skill,,,,,,,,37,Weapon Skill
Mara,Genesis Warrior,5 pieces,+3% Melee Critical Chance,,,,,,,,3,Melee Critical Chance
Mara,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
Mara,Invader,2 pieces,"+66,0 Strength",,,,,,,,66,Strength
Mara,Invader,3 pieces,+73 Wounds,,,,,,,,73,Wounds
Mara,Invader,4 pieces,+5% Reduced Chance to be Parried,,,,,,,,5,Reduced Chance to be Parried
Mara,Invader,5 pieces,+10 Auto Attack Damage,,,,,,,,10,0
Mara,Invader,6 pieces,Red Frenzy - On Critical Hit: 10% chance to increase your auto attack damage by 25% for 5 seconds.,,,,,,,,0,0
Mara,Invader,7 pieces,Brutal Aggressor - Increases the critical hit rate of all Path Of Brutality abilities by 10%.,,,,,,,,10,0
Mara,Mercenary,2 pieces,+53 Strength,,,,,,,,53,Strength
Mara,Mercenary,3 pieces,+290 Elemental Resistance                                                        ,,,,,,,,290,0
Mara,Mercenary,4 pieces,+1 Path of Left tree Abilities,,,,,,,,1,0
Mara,Mercenary,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
Mara,Onslaught,2 pieces,+58 Wounds,,,,,,,,58,Wounds
Mara,Onslaught,3 pieces,+64 Strength,,,,,,,,64,Strength
Mara,Onslaught,4 pieces,Preservation - On Being Hit: 10% chance to increase Wounds by 80 for 20 seconds.,,,,,,,,0,0
Mara,Onslaught,5 pieces,+5% Disrupt,,,,,,,,5,Disrupt
Mara,Oppressor,2 pieces,+62 Strength,,,,,,,,62,Strength
Mara,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
Mara,Oppressor,4 pieces,"Endure - On Being Hit: 15% chance to reduce attackers Strength, Balistic Skill and Intelligence by 110, while increasing your Initiative by 110 for 10 seconds.",,,,,,,,0,0
Mara,Oppressor,5 pieces,+5% Reduction in being Critically Hit,,,,,,,,5,Reduction in being Critically Hit
Mara,Oppressor,6 pieces,+4% Damage Reduction,,,,,,,,4,0
Mara,Overlord,2 pieces,+61 wounds,,,,,,,,61,Wounds
Mara,Rare Fortune,2 pieces,+54 Initiative,,,,,,,,54,Initiative
Mara,Rare Fortune,3 pieces,+59 Strength,,,,,,,,59,Strength
Mara,Rare Fortune,4 pieces,Creeping - On Being Hit: 10% chance to reduce attackers movement speed by 40% for 5 seconds.,,,,,,,,0,0
Mara,Rare Fortune,5 pieces,+5% Reduced Chance to be Parried,,,,,,,,5,Reduced Chance to be Parried
Mara,Redeye,2 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
Mara,Redeye,3 pieces,+59 Strength,,,,,,,,59,Strength
Mara,Redeye,4 pieces,+64 Weapon Skill,,,,,,,,64,Weapon Skill
Mara,Redeye,5 pieces,+25% Auto Attack Haste,,,,,,,,25,Auto Attack Haste
Mara,Redeye,6 pieces,+5% Parry,,,,,,,,5,Parry
Mara,Sentinel,2 pieces,+58 Strength,,,,,,,,58,Strength
Mara,Sentinel,3 pieces,+64 Wounds,,,,,,,,64,Wounds
Mara,Sentinel,4 pieces,+70 Initiative,,,,,,,,70,Initiative
Mara,Sentinel,5 pieces,Arise - On Attacking Target or Being Hit: 10% chance to resist Stuns and Knockdowns by 33% for 15 seconds.,,,,,,,,0,0
Mara,Sentinel,6 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
Mara,Sentinel,7 pieces,Fully Mutated - Cooldwon of Detaunt reduced by 20 seconds.,,,,,,,,20,0
Mara,The Winds,2 pieces,+25 Initiative,,,,,,,,25,Initiative
Mara,The Winds,3 pieces,+210 Armor,,,,,,,,210,Armor
Mara,Vanquisher,2 pieces,+62 Strength,,,,,,,,62,Strength
Mara,Vanquisher,3 pieces,+68 Wounds,,,,,,,,68,Wounds
Mara,Vanquisher,4 pieces,Vicious Strijes - On Hit: 15% chance to reduce target's Toughness by 110 while increasing your Weaponskil by 110 for 10 seconds.,,,,,,,,0,0
Mara,Vanquisher,5 pieces,+5% Melee Critical Chance,,,,,,,,5,Melee Critical Chance
Runi,Annihilator,2 pieces,+53 Willpower,,,,,,,,53,Willpower
Runi,Annihilator,3 pieces,+290 Corporeal Resistance,,,,,,,,290,Corporeal Resistance
Runi,Annihilator,4 pieces,+1 Path of  Left tree Abilities,,,,,,,,1,0
Runi,Annihilator,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
Runi,Beastlord,3 pieces,+225 Armor,,,,,,,,225,Armor
Runi,Beastlord,4 pieces,+60 Willpower,,,,,,,,60,Willpower
Runi,Beastlord,5 pieces,Aid X – On Direct Heal: 5% chance for your heal target to regain an additional 354 health over 9 seconds.,,,,,,,,0,0
Runi,Beastlord,6 pieces,Guidance II – On Direct Heal: 5% chance to increase the power of your heals by 6% for 10 seconds.,,,,,,,,0,0
Runi,Bloodlord,2 pieces,"+66,0 Wounds",,,,,,,,66,Wounds
Runi,Bloodlord,3 pieces,+73 Initiative,,,,,,,,73,Initiative
Runi,Bloodlord,4 pieces,Boost II – On Hit: 5% chance to increase critical hit rate by 6% for 9 seconds.,,,,,,,,0,0
Runi,Bloodlord,5 pieces,+87 Intelligence,,,,,,,,87,Intelligence
Runi,Bloodlord,6 pieces,Focused Affliction – On Hit: 10% chance to increase all damage taken by your target by 4% for 10 seconds.,,,,,,,,0,0
Runi,Bloodlord,7 pieces,Surging – On Hit: 10% chance to deal damage to an additional target within 30 feet of the first.,,,,,,,,0,0
Runi,Conqueror,2 pieces,+57 Willpower,,,,,,,,57,Willpower
Runi,Conqueror,3 pieces,+63 Toughness,,,,,,,,63,Toughness
Runi,Conqueror,4 pieces,+69 Wounds,,,,,,,,69,Wounds
Runi,Conqueror,5 pieces,"Reactionary – On Defense: 25% chance to increase Parry, Evade and Disrupt by 10% for 10 seconds.",,,,,,,,0,0
Runi,Conqueror,6 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
Runi,Dominator,2 pieces,+57 Intelligence,,,,,,,,57,Intelligence
Runi,Dominator,3 pieces,+63 Initiative,,,,,,,,63,Initiative
Runi,Dominator,4 pieces,+69 Wounds,,,,,,,,69,Wounds
Runi,Dominator,5 pieces,Domination – On Hit: 25% chance to steal 100 Toughness from your target for 10 seconds.,,,,,,,,0,0
Runi,Dominator,6 pieces,+5% Magic Critical Chance,,,,,,,,5,Magic Critical Chance
Runi,Genesis Curative,2 pieces,+37 Willpower,,,,,,,,37,Willpower
Runi,Genesis Curative,3 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
Runi,Genesis Curative,4 pieces,+3% Reduced Armor Penetration,,,,,,,,3,Reduced Armor Penetration
Runi,Genesis Curative,5 pieces,+3% Healing Critical Chance,,,,,,,,3,Healing Critical Chance
Runi,Genesis Scholar,2 pieces,+37 Intelligence,,,,,,,,37,Intelligence
Runi,Genesis Scholar,3 pieces,+3% Reduced Chance to be Disrupted,,,,,,,,3,Reduced Chance to be Disrupted
Runi,Genesis Scholar,4 pieces,+3% Reduction in being Critically Hit,,,,,,,,3,Reduction in being Critically Hit
Runi,Genesis Scholar,5 pieces,+3% Magic Critical Chance,,,,,,,,3,Magic Critical Chance
Runi,Imperator,2 pieces,+61 Initiative,,,,,,,,61,Initiative
Runi,Invader,2 pieces,"+66,0 Willpower",,,,,,,,66,Willpower
Runi,Invader,3 pieces,+73 Wounds,,,,,,,,73,Wounds
Runi,Invader,4 pieces,+80 Toughness,,,,,,,,80,Toughness
Runi,Invader,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
Runi,Invader,6 pieces,"Absolve l - On Direct Heal: 5% chance to remove a Hex, Curse or Ailment from your heal target.",,,,,,,,5,0
Runi,Invader,7 pieces,Deep Scheming - All your Path of Witchcraft abilities have 10% chance to increase Hеaling Power by 110 for 10 seconds.,,,,,,,,10,0
Runi,Mercenary,2 pieces,+53 Toughness,,,,,,,,53,Toughness
Runi,Mercenary,3 pieces,+236 Armor,,,,,,,,236,Armor
Runi,Mercenary,4 pieces,+1 Path of the Middle Tree Abilities,,,,,,,,1,0
Runi,Mercenary,5 pieces,+5% Reduction in being Critically Hit,,,,,,,,5,Reduction in being Critically Hit
Runi,Onslaught,2 pieces,+58 Willpower,,,,,,,,58,Willpower
Runi,Onslaught,3 pieces,+64 Wounds,,,,,,,,64,Wounds
Runi,Onslaught,4 pieces,Vivacious - On Heal: 10% chance to recover 50 AP.,,,,,,,,0,0
Runi,Onslaught,5 pieces,+5% Healing Critical Chance,,,,,,,,5,Healing Critical Chance
Runi,Oppressor,2 pieces,+62 Intelligence,,,,,,,,62,Intelligence
Runi,Oppressor,3 pieces,+68 Wounds,,,,,,,,68,Wounds
